ACC_X_AVG,ACC_Y_AVG,ACC_Z_AVG,GYR_X_AVG,GYR_Y_AVG,GYR_Z_AVG,MAG_X_AVG,MAG_Y_AVG,MAG_Z_AVG,ACC_X_Range,ACC_Y_Range,ACC_Z_Range,GYR_X_Range,GYR_Y_Range,GYR_Z_Range,MAG_X_Range,MAG_Y_Range,MAG_Z_Range
70.98,-8.2,1052.5,1.182,-0.856,0.544,1.182,-0.856,0.544,426,358,1546,144.3,58.4,35.9,144.3,58.4,35.9
42.6,128.64,947.48,19.548,-6.156,-20.568,19.548,-6.156,-20.568,1276,1173,1424,192.2,227.4,368.2,192.2,227.4,368.2
-338.7692308,776.7435897,347.3333333,25.32051282,40.47948718,25.72307692,25.32051282,40.47948718,25.72307692,751,902,1226,331.3,124.2,116.6,331.3,124.2,116.6
18.72,-7.88,1083.38,-0.184,-2.006,1.518,-0.184,-2.006,1.518,306,331,1468,135.1,63.6,57.2,135.1,63.6,57.2
10.36,26.6,1063.64,4.102,1.396,0.414,4.102,1.396,0.414,439,383,1561,113.2,69.7,44.5,113.2,69.7,44.5
-16.4,2.2,985.98,0.172,0.768,-1.888,0.172,0.768,-1.888,449,582,1539,142.6,61,34.4,142.6,61,34.4
21.8,-48.4,1021.04,-0.788,-2.712,1.952,-0.788,-2.712,1.952,449,461,1690,96.8,67.1,32.8,96.8,67.1,32.8
-248.44,622.36,730.52,20.942,0.058,-9.078,20.942,0.058,-9.078,944,1783,1183,275.4,172.9,277.5,275.4,172.9,277.5
16.4,46.62,1039.62,3.326,-2.85,-0.032,3.326,-2.85,-0.032,466,491,1290,106.4,60,47.6,106.4,60,47.6
5.34,92.88,1047.18,0.67,1.73,0.814,0.67,1.73,0.814,490,416,1307,95.1,83.9,45,95.1,83.9,45
-28.26,47.62,962.1,-0.48,-1.454,1.486,-0.48,-1.454,1.486,476,332,1341,91.8,94.7,62.3,91.8,94.7,62.3
-35.02,9.16,1049.44,4.1,1.478,-1.19,4.1,1.478,-1.19,395,295,1226,95.2,59.4,30.1,95.2,59.4,30.1
-31.64,56.02,976.7,1.75,-0.634,1.39,1.75,-0.634,1.39,397,357,1188,137.3,65.9,39.8,137.3,65.9,39.8
-63.64,307.16,909.88,29.036,-3.972,-13.38,29.036,-3.972,-13.38,985,1099,1084,172,155.8,161.3,172,155.8,161.3
-534,822.8367347,281.1020408,14.11836735,-7.226530612,-5.955102041,14.11836735,-7.226530612,-5.955102041,249,239,340,101.6,105.6,81.8,101.6,105.6,81.8
